Price,Close,High,Low,Open,Volume,Symbol
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Date,,,,,,AAPL
2015-12-21,24.1995849609375,24.208603926159757,23.80275909211675,24.188310824361743,190362400,AAPL
2015-12-22,24.17703628540039,24.287515589338216,24.00116905929387,24.215365594086148,131157600,AAPL
2015-12-23,24.488176345825195,24.542288397916,24.17026438438559,24.186047137920035,130629600,AAPL
2015-12-24,24.357406616210938,24.576111739027386,24.33936869016207,24.576111739027386,54281600,AAPL
2015-12-28,24.084592819213867,24.28075142212427,23.94029283093204,24.258203151299597,106816800,AAPL
2015-12-29,24.517494201660156,24.67306833434961,24.09361317659744,24.116159728534203,123724800,AAPL
2015-12-30,24.197324752807617,24.5084712473463,24.16575924119607,24.4814160775029,100855200,AAPL
2015-12-31,23.732864379882812,24.131943701849536,23.63365748213644,24.127435079311855,163649200,AAPL
2016-01-04,23.753154754638672,23.757665097176886,22.997834077504077,23.135370281661345,270597600,AAPL
2016-01-05,23.157915115356445,23.86588746445505,23.09027546402736,23.84334091401202,223164000,AAPL
2016-01-06,22.70471954345703,23.08125394699571,22.517581647305203,22.67315403228967,273829600,AAPL
2016-01-07,21.746477127075195,22.57620283984095,21.74196850545963,22.249273586684012,324377600,AAPL
2016-01-08,21.861467361450195,22.346225907540124,21.816374263289404,22.21996385653677,283192000,AAPL
2016-01-11,22.2154541015625,22.334952363018157,21.94714551589993,22.31466098436711,198957600,AAPL
2016-01-12,22.53787612915039,22.702469220218045,22.28535028483298,22.670903704702315,196616800,AAPL
2016-01-13,21.958415985107422,22.815198491300194,21.938124609843808,22.619039929462637,249758400,AAPL
2016-01-14,22.438671112060547,22.65512283678372,21.586398681658064,22.086940069720914,252680400,AAPL
2016-01-15,21.89980125427246,22.030573674599744,21.50072191936061,21.690115035537954,319335600,AAPL
2016-01-19,21.793827056884766,22.242509734760187,21.53228227890464,22.18839767456103,212350800,AAPL
2016-01-20,21.82314109802246,22.13879798972315,21.06331007473765,21.442098000740142,289337600,AAPL
2016-01-21,21.712661743164062,22.06890139601609,21.40602381702413,21.884016915860396,208646000,AAPL
2016-01-22,22.867061614990234,22.876080579854502,22.17938231595851,22.23800300728876,263202000,AAPL
2016-01-25,22.42064094543457,22.89187039353047,22.368782311530257,22.88961522157145,207178000,AAPL
2016-01-26,22.544641494750977,22.745308737463674,22.111741491608417,22.531113907212678,300308000,AAPL
2016-01-27,21.063304901123047,21.787059886927032,21.045266975698283,21.654034057349705,533478800,AAPL
2016-01-28,21.214366912841797,21.31131860379387,20.83107049011468,21.14672727834407,222715200,AAPL
2016-01-29,21.947141647338867,21.947141647338867,21.272990125762874,21.372196991080568,257666000,AAPL
2016-02-01,21.74197006225586,21.80510109054244,21.509737328119584,21.75098902632416,163774000,AAPL
2016-02-02,21.30230712890625,21.654038140049035,21.257212306842064,21.51424677193742,149428800,AAPL
2016-02-03,21.72393226623535,21.834411566408754,21.212118523635226,21.41954953789307,183857200,AAPL
2016-02-04,21.898481369018555,22.063967550836807,21.578846044582523,21.73072950888564,185886800,AAPL
2016-02-05,21.31361961364746,21.97102794813434,21.238812432834692,21.880350638286867,185672400,AAPL
2016-02-08,21.538043975830078,21.69446054534972,21.09145970080707,21.11186118527786,216085600,AAPL
2016-02-09,21.533506393432617,21.748865169160446,21.293213049729875,21.374822436180885,177324800,AAPL
2016-02-10,21.370288848876953,21.841809391135303,21.331751561261502,21.74433160335618,169374400,AAPL
2016-02-11,21.241077423095703,21.47230464218728,20.989448717950868,21.261480638674737,200298800,AAPL
2016-02-12,21.306814193725586,21.42242778029908,21.084656651945615,21.352153702933542,161405600,AAPL
2016-02-16,21.907548904418945,21.95515409111207,21.447363703526644,21.54030666911073,196231600,AAPL
2016-02-17,22.24306297302246,22.263464462576152,21.79647858673577,21.91435789527349,179452800,AAPL
2016-02-18,21.8214111328125,22.417611528318208,21.782872109976353,22.406276216391266,156084000,AAPL
2016-02-19,21.77153778076172,21.934756581566603,21.717132090335326,21.762469877436367,141496800,AAPL
2016-02-22,21.961956024169922,21.966490840071426,21.744331558086568,21.83274144338526,137123200,AAPL
2016-02-23,21.465499877929688,21.875812491419047,21.43376308625236,21.85314360158173,127770400,AAPL
2016-02-24,21.785139083862305,21.848612678525644,21.154934494668073,21.304552307396584,145022800,AAPL
2016-02-25,21.93476104736328,21.93476104736328,21.592454977623937,21.773809622002336,110330800,AAPL
2016-02-26,21.96875762939453,22.22038456002593,21.893948734855904,22.034496892385544,115964400,AAPL
2016-02-29,21.91888427734375,22.26799071029583,21.909816375634232,21.957421562465143,140865200,AAPL
2016-03-01,22.789384841918945,22.843790529227164,22.08437139689242,22.136511405643443,201628400,AAPL
2016-03-02,22.839250564575195,22.870987350074632,22.58762195845459,22.784844893651172,132678400,AAPL
2016-03-03,23.00927734375,23.056882537607784,22.771249644935427,22.80072076222286,147822800,AAPL
2016-03-04,23.351585388183594,23.519337285519104,22.979809978128777,23.206502385700045,184220400,AAPL
2016-03-07,23.093149185180664,23.3107736229704,22.886858326620168,23.211028440411454,143315600,AAPL
2016-03-08,22.902725219726562,23.06821137725737,22.759909678218598,22.846052138719806,126247600,AAPL
2016-03-09,22.923141479492188,23.02741980037228,22.73045151074138,22.966211869502253,108806800,AAPL
2016-03-10,22.934465408325195,23.17702616182926,22.70323996451378,22.988872819419413,134054400,AAPL
2016-03-11,23.18157196044922,23.1861050487587,23.009285202742614,23.177037142613486,109632800,AAPL
2016-03-14,23.240497589111328,23.328909191555695,23.072745744280905,23.102216854937453,100304400,AAPL
2016-03-15,23.70749282836914,23.843507929470757,23.542006606852844,23.566942910499492,160270800,AAPL
2016-03-16,24.02259063720703,24.0996652125511,23.709754060862114,23.71428887677972,153214000,AAPL
2016-03-17,23.984054565429688,24.13593804538442,23.793632066323628,23.92057924604393,137682800,AAPL
2016-03-18,24.011255264282227,24.142737253141327,23.845770803757425,24.106465643997222,176820800,AAPL
2016-03-21,24.00899314880371,24.403437444391265,23.834439030563434,24.01352623585668,142010800,AAPL
2016-03-22,24.192607879638672,24.32182245001595,23.850301946717135,23.85936984826427,129777600,AAPL
2016-03-23,24.058862686157227,24.271954085834214,24.006724405082437,24.138206406139542,102814000,AAPL
2016-03-24,23.954586029052734,24.086068039081677,23.77776622981937,23.909248239848313,104532000,AAPL
2016-03-28,23.84577751159668,24.072469943939566,23.816306388495462,24.0293978283461,77645600,AAPL
2016-03-29,24.41023826599121,24.435174568930254,23.775498839494148,23.777766247813826,124760400,AAPL
2016-03-30,24.83641815185547,25.031373749204025,24.618793660995017,24.63012897251382,182404400,AAPL
2016-03-31,24.707195281982422,24.913486121763505,24.682258988612727,24.8726814352972,103553600,AAPL
2016-04-01,24.933895111083984,24.936162519216552,24.528115531637294,24.659597530915683,103496000,AAPL
2016-04-04,25.1900577545166,25.43261853064803,24.997367848918945,25.031372051643565,149424800,AAPL
2016-04-05,24.893085479736328,25.10164374846506,24.804675604866937,24.82507881496581,106314800,AAPL
2016-04-06,25.15378761291504,25.158322429290177,24.75480851866221,24.988303135262203,105616400,AAPL
2016-04-07,24.60519790649414,25.031379075591563,24.509987495769092,24.924833350935685,127207600,AAPL
2016-04-08,24.632396697998047,24.88402366760454,24.5213161781653,24.68906979727061,94326800,AAPL
2016-04-11,24.714000701904297,25.07444245913687,24.67093032892686,24.702667121447277,117630000,AAPL
2016-04-12,25.035903930664062,25.04950491834807,24.63239182046813,24.786540959621277,108929200,AAPL
2016-04-13,25.39862060546875,25.466627298200994,25.11752247055157,25.11752247055157,133029200,AAPL
2016-04-14,25.41221809387207,25.47795909844938,25.237665704117397,25.303406708694705,101895600,AAPL
2016-04-15,24.902162551879883,25.45756003110272,24.87496056776389,25.414487916884465,187756000,AAPL
2016-04-18,24.36490249633789,24.698138906868433,24.24248837981555,24.6845379148746,243286000,AAPL
2016-04-19,24.235685348510742,24.482779234688476,24.081534447111306,24.45557552402066,129539600,AAPL
2016-04-20,24.28554916381836,24.50317359731882,24.04298843516964,24.17447040421948,122444000,AAPL
2016-04-21,24.02259063720703,24.240215104062983,23.920578033367182,24.240215104062983,126210000,AAPL
2016-04-22,23.95685386657715,24.13820848569555,23.71656046634222,23.804970367542836,134732400,AAPL
2016-04-25,23.820831298828125,23.95004586234347,23.69161673531278,23.802695496696956,112126400,AAPL
2016-04-26,23.65534782409668,23.87070660748999,23.5556043600705,23.5556043600705,224064800,AAPL
2016-04-27,22.175048828125,22.376804910562402,21.689927267036683,21.76246876039029,458408400,AAPL
2016-04-28,21.49724006652832,22.188650828210754,21.365758063359937,22.12744464302586,328970800,AAPL
2016-04-29,21.250146865844727,21.472306197383485,20.9713161591004,21.306819970576196,274126000,AAPL
2016-05-02,21.22747039794922,21.327215580145463,20.94637238301696,21.302279284596402,192640400,AAPL
2016-05-03,21.576580047607422,21.70352722254671,21.236541489426717,21.354420761938123,227325200,AAPL
2016-05-04,21.352157592773438,21.73980138711214,21.268280782602496,21.581115670263795,164102000,AAPL
2016-05-05,21.265483856201172,21.454784488368706,21.13776378633173,21.438819479635022,143562000,AAPL
2016-05-06,21.146896362304688,21.313388422183426,20.94847253061062,21.295143932646955,174799600,AAPL
